operator,flagos_impl,baseline_impl,flagos_avg_time_ms,baseline_avg_time_ms,avg_speedup,num_workloads,environment
flash_attn_varlen_func,flaggems_vllm.flash_attn_varlen_func,vllm.vllm_flash_attn.flash_attn_interface.flash_attn_varlen_func,2.0387,5.3712,2.0742,2,NVIDIA H20 (95.1GB); PyTorch 2.11.0+cu130; CUDA 13.0
mhc_post,flaggems_vllm.mhc_post,vllm.model_executor.layers.mhc.mhc_post,0.0710,0.0428,0.5745,50,NVIDIA H20 (95.1GB); PyTorch 2.11.0+cu130; CUDA 13.0
topk_softplus_sqrt,flaggems_vllm.topk_softplus_sqrt,vllm._custom_ops.topk_hash_softplus_sqrt,0.0278,0.0155,0.5686,70,NVIDIA H20 (95.1GB); PyTorch 2.11.0+cu130; CUDA 13.0
flash_mla_with_kvcache,flaggems_vllm.flash_mla_with_kvcache,vllm.v1.attention.ops.flashmla.flash_mla_with_kvcache (adapted),0.5837,0.4230,0.5547,49,NVIDIA H20 (95.1GB); PyTorch 2.11.0+cu130; CUDA 13.0
swiglu,flag_gems.swiglu,torch.ops._C.silu_and_mul (adapted),0.0391,0.0223,0.5368,60,NVIDIA H20 (95.1GB); PyTorch 2.11.0+cu130; CUDA 13.0
compute_global_topk_indices_and_lens,flaggems_vllm.compute_global_topk_indices_and_lens,vllm.v1.attention.ops.deepseek_v4_ops.compute_global_topk_indices_and_lens,0.0846,0.0383,0.4518,28,NVIDIA H20 (95.1GB); PyTorch 2.11.0+cu130; CUDA 13.0
indexer_k_quant_and_cache,flaggems_vllm.indexer_k_quant_and_cache,vllm._custom_ops.indexer_k_quant_and_cache (adapted),0.0365,0.0135,0.3697,40,NVIDIA H20 (95.1GB); PyTorch 2.11.0+cu130; CUDA 13.0
cp_gather_indexer_k_quant_cache,flaggems_vllm.cp_gather_indexer_k_quant_cache (wrapped),vllm._custom_ops.cp_gather_indexer_k_quant_cache,0.0448,0.0131,0.2938,40,NVIDIA H20 (95.1GB); PyTorch 2.11.0+cu130; CUDA 13.0
grouped_topk,flag_gems.grouped_topk,vllm._custom_ops.grouped_topk (adapted),0.0761,0.0227,0.2866,50,NVIDIA H20 (95.1GB); PyTorch 2.11.0+cu130; CUDA 13.0
silu_and_mul_with_clamp,flaggems_vllm.silu_and_mul_with_clamp,torch.ops._C.silu_and_mul_with_clamp (adapted),0.1398,0.0323,0.1998,60,NVIDIA H20 (95.1GB); PyTorch 2.11.0+cu130; CUDA 13.0
flash_mla,flaggems_vllm.flash_mla,,0.4749,N/A,N/A,23,NVIDIA H20 (95.1GB); PyTorch 2.11.0+cu130; CUDA 13.0
flash_mla_with_kvcache_fp8,flaggems_vllm.flash_mla_with_kvcache,,0.1297,N/A,N/A,14,NVIDIA H20 (95.1GB); PyTorch 2.11.0+cu130; CUDA 13.0
fp8_fp4_paged_mqa_logits,flaggems_vllm.fp8_fp4_paged_mqa_logits,,0.5874,N/A,N/A,35,NVIDIA H20 (95.1GB); PyTorch 2.11.0+cu130; CUDA 13.0
