operator,workload,parameters,flagos_time_ms,baseline_time_ms,speedup,flagos_gflops,baseline_gflops
chunk_gated_delta_rule_flag_attn,qwen3.8-2.4t-a95b_decode_num_tokens32,"num_heads=16, num_value_heads=128, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=32",0.1970,0.1977,1.0036,2746.27,2736.20
chunk_gated_delta_rule_flag_attn,qwen3.8-2.4t-a95b_decode_num_tokens64,"num_heads=16, num_value_heads=128, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=64",0.1975,0.1978,1.0015,2739.76,2734.85
chunk_gated_delta_rule_flag_attn,qwen3.8-2.4t-a95b_mixed_num_tokens128,"num_heads=16, num_value_heads=128, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=128",0.3462,0.3489,1.0078,3125.66,3101.60
chunk_gated_delta_rule_flag_attn,qwen3.8-2.4t-a95b_mixed_num_tokens256,"num_heads=16, num_value_heads=128, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=256",0.2277,0.2194,0.9635,9504.15,9866.35
chunk_gated_delta_rule_flag_attn,qwen3.8-2.4t-a95b_prefill_num_tokens512,"num_heads=16, num_value_heads=128, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=512",0.3594,0.3457,0.9619,12042.08,12522.15
chunk_gated_delta_rule_flag_attn,qwen3.8-2.4t-a95b_prefill_num_tokens1024,"num_heads=16, num_value_heads=128, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=1024",0.6027,0.5864,0.9730,14364.03,14764.27
chunk_gated_delta_rule_flag_attn,qwen3.8-2.4t-a95b_prefill_num_tokens2048,"num_heads=16, num_value_heads=128, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=2048",0.9746,1.0770,1.1051,17765.42,16075.95
chunk_gated_delta_rule_flag_attn,qwen3.8-2.4t-a95b_prefill_num_tokens4096,"num_heads=16, num_value_heads=128, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=4096",1.8144,2.0506,1.1302,19085.24,16886.99
chunk_gated_delta_rule_flag_gems,kimi_k3_decode_num_tokens1,"num_heads=96, num_value_heads=96, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=1",0.1860,0.1863,1.0016,2181.22,2177.90
chunk_gated_delta_rule_flag_gems,kimi_k3_decode_num_tokens8,"num_heads=96, num_value_heads=96, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=8",0.1854,0.1852,0.9989,2188.28,2190.57
chunk_gated_delta_rule_flag_gems,kimi_k3_decode_num_tokens32,"num_heads=96, num_value_heads=96, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=32",0.1879,0.1864,0.9920,2160.12,2177.37
chunk_gated_delta_rule_flag_gems,kimi_k3_decode_num_tokens64,"num_heads=96, num_value_heads=96, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=64",0.1855,0.1852,0.9984,2187.59,2191.02
chunk_gated_delta_rule_flag_gems,kimi_k3_mixed_num_tokens128,"num_heads=96, num_value_heads=96, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=128",0.3255,0.3254,0.9997,2493.41,2494.04
chunk_gated_delta_rule_flaggems_vllm,kimi_k3_decode_num_tokens1,"num_heads=96, num_value_heads=96, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=1",0.2016,0.1864,0.9246,2012.68,2176.79
chunk_gated_delta_rule_flaggems_vllm,kimi_k3_decode_num_tokens8,"num_heads=96, num_value_heads=96, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=8",0.2007,0.1858,0.9258,2022.25,2183.55
chunk_gated_delta_rule_flaggems_vllm,kimi_k3_decode_num_tokens32,"num_heads=96, num_value_heads=96, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=32",0.2002,0.1850,0.9241,2026.84,2193.73
chunk_gated_delta_rule_flaggems_vllm,kimi_k3_decode_num_tokens64,"num_heads=96, num_value_heads=96, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=64",0.1999,0.1851,0.9260,2030.22,2192.36
chunk_gated_delta_rule_flaggems_vllm,kimi_k3_mixed_num_tokens128,"num_heads=96, num_value_heads=96, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=128",0.3534,0.3258,0.9219,2296.71,2490.82
chunk_gated_delta_rule_flaggems_vllm,kimi_k3_mixed_num_tokens256,"num_heads=96, num_value_heads=96, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=256",0.1906,0.2120,1.1123,8516.61,7655.73
chunk_gated_delta_rule_flaggems_vllm,kimi_k3_prefill_num_tokens512,"num_heads=96, num_value_heads=96, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=512",0.2594,0.2832,1.0918,12513.26,11463.89
chunk_gated_delta_rule_flaggems_vllm,kimi_k3_prefill_num_tokens1024,"num_heads=96, num_value_heads=96, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=1024",0.4163,0.4659,1.1191,15596.80,13934.85
chunk_gated_delta_rule_flaggems_vllm,kimi_k3_prefill_num_tokens2048,"num_heads=96, num_value_heads=96, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=2048",0.7479,0.8513,1.1383,17361.94,15254.28
chunk_gated_delta_rule_flaggems_vllm,kimi_k3_prefill_num_tokens4096,"num_heads=96, num_value_heads=96, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=4096",1.4180,1.6251,1.1461,18315.00,15981.45
chunk_gated_delta_rule_flaggems_vllm,qwen3.8-2.4t-a95b_decode_num_tokens1,"num_heads=16, num_value_heads=128, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=1",0.2006,0.1975,0.9845,2697.38,2740.13
chunk_gated_delta_rule_flaggems_vllm,qwen3.8-2.4t-a95b_decode_num_tokens8,"num_heads=16, num_value_heads=128, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=8",0.2004,0.1966,0.9810,2699.58,2752.37
chunk_gated_delta_rule_flaggems_vllm,qwen3.8-2.4t-a95b_decode_num_tokens32,"num_heads=16, num_value_heads=128, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=32",0.1998,0.1975,0.9885,2707.77,2738.96
chunk_gated_delta_rule_flaggems_vllm,qwen3.8-2.4t-a95b_decode_num_tokens64,"num_heads=16, num_value_heads=128, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=64",0.2002,0.1974,0.9860,2703.12,2740.78
chunk_gated_delta_rule_flaggems_vllm,qwen3.8-2.4t-a95b_mixed_num_tokens128,"num_heads=16, num_value_heads=128, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=128",0.3496,0.3480,0.9954,3095.61,3109.81
chunk_gated_delta_rule_flaggems_vllm,qwen3.8-2.4t-a95b_mixed_num_tokens256,"num_heads=16, num_value_heads=128, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=256",0.1875,0.2150,1.1467,11545.75,10065.91
chunk_gated_delta_rule_flaggems_vllm,qwen3.8-2.4t-a95b_prefill_num_tokens512,"num_heads=16, num_value_heads=128, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=512",0.2913,0.3437,1.1799,14859.63,12593.76
chunk_gated_delta_rule_flaggems_vllm,qwen3.8-2.4t-a95b_prefill_num_tokens1024,"num_heads=16, num_value_heads=128, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=1024",0.4774,0.5843,1.2239,18133.70,14816.60
chunk_gated_delta_rule_flaggems_vllm,qwen3.8-2.4t-a95b_prefill_num_tokens2048,"num_heads=16, num_value_heads=128, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=2048",0.8669,1.0749,1.2399,19971.53,16108.22
chunk_gated_delta_rule_flaggems_vllm,qwen3.8-2.4t-a95b_prefill_num_tokens4096,"num_heads=16, num_value_heads=128, head_dim_k=128, head_dim_v=128, batch_size=1, dtype=bf16, num_tokens=4096",1.6409,2.0522,1.2507,21102.73,16873.99
combine_topk_swa_indices,deepseek_v3.2_decode_batch_size1_seqlen_q512_seqlen_k512,"index_topk=2048, index_n_heads=64, index_head_dim=128, dtype=bf16, batch_size=1, seqlen_q=512, seqlen_k=512",0.0438,0.0401,0.9155,50.90,55.52
combine_topk_swa_indices,deepseek_v3.2_decode_batch_size1_seqlen_q2048_seqlen_k2048,"index_topk=2048, index_n_heads=64, index_head_dim=128, dtype=bf16, batch_size=1, seqlen_q=2048, seqlen_k=2048",0.0432,0.0391,0.9051,206.38,228.07
combine_topk_swa_indices,deepseek_v3.2_decode_batch_size1_seqlen_q4096_seqlen_k4096,"index_topk=2048, index_n_heads=64, index_head_dim=128, dtype=bf16, batch_size=1, seqlen_q=4096, seqlen_k=4096",0.0431,0.0388,0.9002,413.35,459.04
combine_topk_swa_indices,deepseek_v3.2_decode_batch_size4_seqlen_q2048_seqlen_k2048,"index_topk=2048, index_n_heads=64, index_head_dim=128, dtype=bf16, batch_size=4, seqlen_q=2048, seqlen_k=2048",0.0680,0.0492,0.7235,524.30,723.92
combine_topk_swa_indices,deepseek_v3.2_decode_batch_size4_seqlen_q4096_seqlen_k4096,"index_topk=2048, index_n_heads=64, index_head_dim=128, dtype=bf16, batch_size=4, seqlen_q=4096, seqlen_k=4096",0.1044,0.0852,0.8161,682.95,837.17
combine_topk_swa_indices,deepseek_v3.2_decode_batch_size1_seqlen_q8192_seqlen_k8192,"index_topk=2048, index_n_heads=64, index_head_dim=128, dtype=bf16, batch_size=1, seqlen_q=8192, seqlen_k=8192",0.0428,0.0383,0.8949,833.27,931.17
compute_global_topk_indices_and_lens,deepseek_v3.2_decode_batch_size1_seqlen_q1_seqlen_k2048,"index_topk=2048, index_n_heads=64, index_head_dim=128, dtype=bf16, batch_size=1, seqlen_q=1, seqlen_k=2048",0.0874,0.0396,0.4531,0.12,0.26
compute_global_topk_indices_and_lens,deepseek_v3.2_decode_batch_size32_seqlen_q1_seqlen_k2048,"index_topk=2048, index_n_heads=64, index_head_dim=128, dtype=bf16, batch_size=32, seqlen_q=1, seqlen_k=2048",0.0837,0.0322,0.3847,3.91,10.17
compute_global_topk_indices_and_lens,deepseek_v3.2_decode_batch_size64_seqlen_q1_seqlen_k4096,"index_topk=2048, index_n_heads=64, index_head_dim=128, dtype=bf16, batch_size=64, seqlen_q=1, seqlen_k=4096",0.0831,0.0318,0.3827,7.88,20.59
compute_global_topk_indices_and_lens,deepseek_v3.2_decode_batch_size1_seqlen_q512_seqlen_k512,"index_topk=2048, index_n_heads=64, index_head_dim=128, dtype=bf16, batch_size=1, seqlen_q=512, seqlen_k=512",0.0872,0.0338,0.3876,60.10,155.34
compute_global_topk_indices_and_lens,deepseek_v3.2_decode_batch_size1_seqlen_q2048_seqlen_k2048,"index_topk=2048, index_n_heads=64, index_head_dim=128, dtype=bf16, batch_size=1, seqlen_q=2048, seqlen_k=2048",0.0913,0.0370,0.4053,229.68,566.53
compute_global_topk_indices_and_lens,deepseek_v3.2_decode_batch_size1_seqlen_q4096_seqlen_k4096,"index_topk=2048, index_n_heads=64, index_head_dim=128, dtype=bf16, batch_size=1, seqlen_q=4096, seqlen_k=4096",0.1220,0.0531,0.4352,343.75,789.69
compute_global_topk_indices_and_lens,deepseek_v3.2_decode_batch_size4_seqlen_q2048_seqlen_k2048,"index_topk=2048, index_n_heads=64, index_head_dim=128, dtype=bf16, batch_size=4, seqlen_q=2048, seqlen_k=2048",0.1413,0.0797,0.5640,593.65,1053.13
compute_global_topk_indices_and_lens,deepseek_v4_flash_decode_batch_size1_seqlen_q1_seqlen_k2048,"index_topk=512, index_n_heads=64, index_head_dim=128, sliding_window=128, dtype=bf16, batch_size=1, seqlen_q=1, seqlen_k=2048",0.0563,0.0311,0.5524,0.05,0.08
compute_global_topk_indices_and_lens,deepseek_v4_flash_decode_batch_size32_seqlen_q1_seqlen_k2048,"index_topk=512, index_n_heads=64, index_head_dim=128, sliding_window=128, dtype=bf16, batch_size=32, seqlen_q=1, seqlen_k=2048",0.0587,0.0301,0.5128,1.39,2.72
compute_global_topk_indices_and_lens,deepseek_v4_flash_decode_batch_size64_seqlen_q1_seqlen_k4096,"index_topk=512, index_n_heads=64, index_head_dim=128, sliding_window=128, dtype=bf16, batch_size=64, seqlen_q=1, seqlen_k=4096",0.0581,0.0308,0.5301,2.82,5.31
compute_global_topk_indices_and_lens,deepseek_v4_flash_decode_batch_size1_seqlen_q512_seqlen_k512,"index_topk=512, index_n_heads=64, index_head_dim=128, sliding_window=128, dtype=bf16, batch_size=1, seqlen_q=512, seqlen_k=512",0.0578,0.0323,0.5588,22.69,40.63
compute_global_topk_indices_and_lens,deepseek_v4_flash_decode_batch_size1_seqlen_q2048_seqlen_k2048,"index_topk=512, index_n_heads=64, index_head_dim=128, sliding_window=128, dtype=bf16, batch_size=1, seqlen_q=2048, seqlen_k=2048",0.0606,0.0314,0.5182,86.49,166.76
compute_global_topk_indices_and_lens,deepseek_v4_flash_decode_batch_size1_seqlen_q4096_seqlen_k4096,"index_topk=512, index_n_heads=64, index_head_dim=128, sliding_window=128, dtype=bf16, batch_size=1, seqlen_q=4096, seqlen_k=4096",0.0586,0.0363,0.6195,178.98,289.16
compute_global_topk_indices_and_lens,deepseek_v4_flash_decode_batch_size4_seqlen_q2048_seqlen_k2048,"index_topk=512, index_n_heads=64, index_head_dim=128, sliding_window=128, dtype=bf16, batch_size=4, seqlen_q=2048, seqlen_k=2048",0.0728,0.0464,0.6374,288.11,452.35
compute_global_topk_indices_and_lens,deepseek_v4_pro_decode_batch_size1_seqlen_q1_seqlen_k2048,"index_topk=1024, index_n_heads=64, index_head_dim=128, sliding_window=128, dtype=bf16, batch_size=1, seqlen_q=1, seqlen_k=2048",0.0664,0.0303,0.4563,0.08,0.17
compute_global_topk_indices_and_lens,deepseek_v4_pro_decode_batch_size32_seqlen_q1_seqlen_k2048,"index_topk=1024, index_n_heads=64, index_head_dim=128, sliding_window=128, dtype=bf16, batch_size=32, seqlen_q=1, seqlen_k=2048",0.0650,0.0313,0.4815,2.52,5.23
compute_global_topk_indices_and_lens,deepseek_v4_pro_decode_batch_size64_seqlen_q1_seqlen_k4096,"index_topk=1024, index_n_heads=64, index_head_dim=128, sliding_window=128, dtype=bf16, batch_size=64, seqlen_q=1, seqlen_k=4096",0.0651,0.0300,0.4608,5.04,10.92
compute_global_topk_indices_and_lens,deepseek_v4_pro_decode_batch_size1_seqlen_q512_seqlen_k512,"index_topk=1024, index_n_heads=64, index_head_dim=128, sliding_window=128, dtype=bf16, batch_size=1, seqlen_q=512, seqlen_k=512",0.0658,0.0301,0.4574,39.83,87.17
compute_global_topk_indices_and_lens,deepseek_v4_pro_decode_batch_size1_seqlen_q2048_seqlen_k2048,"index_topk=1024, index_n_heads=64, index_head_dim=128, sliding_window=128, dtype=bf16, batch_size=1, seqlen_q=2048, seqlen_k=2048",0.0683,0.0303,0.4436,153.46,346.06
compute_global_topk_indices_and_lens,deepseek_v4_pro_decode_batch_size1_seqlen_q4096_seqlen_k4096,"index_topk=1024, index_n_heads=64, index_head_dim=128, sliding_window=128, dtype=bf16, batch_size=1, seqlen_q=4096, seqlen_k=4096",0.0742,0.0356,0.4798,282.65,589.88
compute_global_topk_indices_and_lens,deepseek_v4_pro_decode_batch_size4_seqlen_q2048_seqlen_k2048,"index_topk=1024, index_n_heads=64, index_head_dim=128, sliding_window=128, dtype=bf16, batch_size=4, seqlen_q=2048, seqlen_k=2048",0.0950,0.0553,0.5821,441.28,758.87
compute_global_topk_indices_and_lens,glm_5.2_decode_batch_size1_seqlen_q1_seqlen_k2048,"index_topk=2048, index_n_heads=32, index_head_dim=128, dtype=bf16, batch_size=1, seqlen_q=1, seqlen_k=2048",0.0786,0.0294,0.3740,0.13,0.35
compute_global_topk_indices_and_lens,glm_5.2_decode_batch_size32_seqlen_q1_seqlen_k2048,"index_topk=2048, index_n_heads=32, index_head_dim=128, dtype=bf16, batch_size=32, seqlen_q=1, seqlen_k=2048",0.0793,0.0298,0.3758,4.13,10.99
compute_global_topk_indices_and_lens,glm_5.2_decode_batch_size64_seqlen_q1_seqlen_k4096,"index_topk=2048, index_n_heads=32, index_head_dim=128, dtype=bf16, batch_size=64, seqlen_q=1, seqlen_k=4096",0.0765,0.0295,0.3856,8.56,22.25
compute_global_topk_indices_and_lens,glm_5.2_decode_batch_size1_seqlen_q512_seqlen_k512,"index_topk=2048, index_n_heads=32, index_head_dim=128, dtype=bf16, batch_size=1, seqlen_q=512, seqlen_k=512",0.1331,0.0298,0.2239,39.38,175.98
compute_global_topk_indices_and_lens,glm_5.2_decode_batch_size1_seqlen_q2048_seqlen_k2048,"index_topk=2048, index_n_heads=32, index_head_dim=128, dtype=bf16, batch_size=1, seqlen_q=2048, seqlen_k=2048",0.1280,0.0354,0.2766,163.86,593.25
compute_global_topk_indices_and_lens,glm_5.2_decode_batch_size1_seqlen_q4096_seqlen_k4096,"index_topk=2048, index_n_heads=32, index_head_dim=128, dtype=bf16, batch_size=1, seqlen_q=4096, seqlen_k=4096",0.1183,0.0525,0.4438,354.56,798.88
compute_global_topk_indices_and_lens,glm_5.2_decode_batch_size4_seqlen_q2048_seqlen_k2048,"index_topk=2048, index_n_heads=32, index_head_dim=128, dtype=bf16, batch_size=4, seqlen_q=2048, seqlen_k=2048",0.1365,0.0787,0.5766,614.54,1066.19
cp_gather_indexer_k_quant_cache,deepseek_v3.2_decode_num_tokens1,"index_n_heads=64, index_head_dim=128, index_topk=2048, dtype=bf16, num_tokens=1",0.0523,0.0154,0.2945,0.00,0.00
cp_gather_indexer_k_quant_cache,deepseek_v3.2_decode_num_tokens8,"index_n_heads=64, index_head_dim=128, index_topk=2048, dtype=bf16, num_tokens=8",0.0467,0.0139,0.2976,0.00,0.00
cp_gather_indexer_k_quant_cache,deepseek_v3.2_decode_num_tokens32,"index_n_heads=64, index_head_dim=128, index_topk=2048, dtype=bf16, num_tokens=32",0.0470,0.0132,0.2809,0.00,0.00
cp_gather_indexer_k_quant_cache,deepseek_v3.2_decode_num_tokens64,"index_n_heads=64, index_head_dim=128, index_topk=2048, dtype=bf16, num_tokens=64",0.0502,0.0132,0.2629,0.00,0.00
cp_gather_indexer_k_quant_cache,deepseek_v3.2_mixed_num_tokens128,"index_n_heads=64, index_head_dim=128, index_topk=2048, dtype=bf16, num_tokens=128",0.0490,0.0135,0.2755,0.00,0.00
cp_gather_indexer_k_quant_cache,deepseek_v3.2_mixed_num_tokens256,"index_n_heads=64, index_head_dim=128, index_topk=2048, dtype=bf16, num_tokens=256",0.0499,0.0130,0.2605,0.00,0.00
cp_gather_indexer_k_quant_cache,deepseek_v3.2_prefill_num_tokens512,"index_n_heads=64, index_head_dim=128, index_topk=2048, dtype=bf16, num_tokens=512",0.0513,0.0131,0.2554,0.00,0.00
cp_gather_indexer_k_quant_cache,deepseek_v3.2_prefill_num_tokens1024,"index_n_heads=64, index_head_dim=128, index_topk=2048, dtype=bf16, num_tokens=1024",0.0454,0.0133,0.2930,0.00,0.00
cp_gather_indexer_k_quant_cache,deepseek_v3.2_prefill_num_tokens2048,"index_n_heads=64, index_head_dim=128, index_topk=2048, dtype=bf16, num_tokens=2048",0.0444,0.0130,0.2928,0.00,0.00
cp_gather_indexer_k_quant_cache,deepseek_v3.2_prefill_num_tokens4096,"index_n_heads=64, index_head_dim=128, index_topk=2048, dtype=bf16, num_tokens=4096",0.0482,0.0131,0.2718,0.00,0.00
cp_gather_indexer_k_quant_cache,deepseek_v4_flash_decode_num_tokens1,"index_n_heads=64, index_head_dim=128, index_topk=512, dtype=bf16, num_tokens=1",0.0441,0.0128,0.2902,0.00,0.00
cp_gather_indexer_k_quant_cache,deepseek_v4_flash_decode_num_tokens8,"index_n_heads=64, index_head_dim=128, index_topk=512, dtype=bf16, num_tokens=8",0.0444,0.0131,0.2950,0.00,0.00
cp_gather_indexer_k_quant_cache,deepseek_v4_flash_decode_num_tokens32,"index_n_heads=64, index_head_dim=128, index_topk=512, dtype=bf16, num_tokens=32",0.0481,0.0131,0.2723,0.00,0.00
cp_gather_indexer_k_quant_cache,deepseek_v4_flash_decode_num_tokens64,"index_n_heads=64, index_head_dim=128, index_topk=512, dtype=bf16, num_tokens=64",0.0427,0.0129,0.3021,0.00,0.00
cp_gather_indexer_k_quant_cache,deepseek_v4_flash_mixed_num_tokens128,"index_n_heads=64, index_head_dim=128, index_topk=512, dtype=bf16, num_tokens=128",0.0437,0.0130,0.2975,0.00,0.00
cp_gather_indexer_k_quant_cache,deepseek_v4_flash_mixed_num_tokens256,"index_n_heads=64, index_head_dim=128, index_topk=512, dtype=bf16, num_tokens=256",0.0428,0.0129,0.3014,0.00,0.00
cp_gather_indexer_k_quant_cache,deepseek_v4_flash_prefill_num_tokens512,"index_n_heads=64, index_head_dim=128, index_topk=512, dtype=bf16, num_tokens=512",0.0454,0.0130,0.2863,0.00,0.00
cp_gather_indexer_k_quant_cache,deepseek_v4_flash_prefill_num_tokens1024,"index_n_heads=64, index_head_dim=128, index_topk=512, dtype=bf16, num_tokens=1024",0.0441,0.0133,0.3016,0.00,0.00
cp_gather_indexer_k_quant_cache,deepseek_v4_flash_prefill_num_tokens2048,"index_n_heads=64, index_head_dim=128, index_topk=512, dtype=bf16, num_tokens=2048",0.0444,0.0128,0.2883,0.00,0.00
cp_gather_indexer_k_quant_cache,deepseek_v4_flash_prefill_num_tokens4096,"index_n_heads=64, index_head_dim=128, index_topk=512, dtype=bf16, num_tokens=4096",0.0439,0.0129,0.2938,0.00,0.00
cp_gather_indexer_k_quant_cache,deepseek_v4_pro_decode_num_tokens1,"index_n_heads=64, index_head_dim=128, index_topk=1024, dtype=bf16, num_tokens=1",0.0431,0.0132,0.3063,0.00,0.00
cp_gather_indexer_k_quant_cache,deepseek_v4_pro_decode_num_tokens8,"index_n_heads=64, index_head_dim=128, index_topk=1024, dtype=bf16, num_tokens=8",0.0431,0.0128,0.2970,0.00,0.00
cp_gather_indexer_k_quant_cache,deepseek_v4_pro_decode_num_tokens32,"index_n_heads=64, index_head_dim=128, index_topk=1024, dtype=bf16, num_tokens=32",0.0431,0.0142,0.3295,0.00,0.00
cp_gather_indexer_k_quant_cache,deepseek_v4_pro_decode_num_tokens64,"index_n_heads=64, index_head_dim=128, index_topk=1024, dtype=bf16, num_tokens=64",0.0423,0.0133,0.3144,0.00,0.00
cp_gather_indexer_k_quant_cache,deepseek_v4_pro_mixed_num_tokens128,"index_n_heads=64, index_head_dim=128, index_topk=1024, dtype=bf16, num_tokens=128",0.0434,0.0128,0.2949,0.00,0.00
cp_gather_indexer_k_quant_cache,deepseek_v4_pro_mixed_num_tokens256,"index_n_heads=64, index_head_dim=128, index_topk=1024, dtype=bf16, num_tokens=256",0.0431,0.0128,0.2970,0.00,0.00
cp_gather_indexer_k_quant_cache,deepseek_v4_pro_prefill_num_tokens512,"index_n_heads=64, index_head_dim=128, index_topk=1024, dtype=bf16, num_tokens=512",0.0426,0.0130,0.3052,0.00,0.00
cp_gather_indexer_k_quant_cache,deepseek_v4_pro_prefill_num_tokens1024,"index_n_heads=64, index_head_dim=128, index_topk=1024, dtype=bf16, num_tokens=1024",0.0435,0.0130,0.2989,0.00,0.00
cp_gather_indexer_k_quant_cache,deepseek_v4_pro_prefill_num_tokens2048,"index_n_heads=64, index_head_dim=128, index_topk=1024, dtype=bf16, num_tokens=2048",0.0438,0.0127,0.2900,0.00,0.00
cp_gather_indexer_k_quant_cache,deepseek_v4_pro_prefill_num_tokens4096,"index_n_heads=64, index_head_dim=128, index_topk=1024, dtype=bf16, num_tokens=4096",0.0437,0.0128,0.2929,0.00,0.00
cp_gather_indexer_k_quant_cache,glm_5.2_decode_num_tokens1,"index_n_heads=32, index_head_dim=128, index_topk=2048, dtype=bf16, num_tokens=1",0.0430,0.0130,0.3023,0.00,0.00
cp_gather_indexer_k_quant_cache,glm_5.2_decode_num_tokens8,"index_n_heads=32, index_head_dim=128, index_topk=2048, dtype=bf16, num_tokens=8",0.0431,0.0131,0.3039,0.00,0.00
cp_gather_indexer_k_quant_cache,glm_5.2_decode_num_tokens32,"index_n_heads=32, index_head_dim=128, index_topk=2048, dtype=bf16, num_tokens=32",0.0435,0.0129,0.2966,0.00,0.00
