platform,backend,timestamp,operator,scenario,phase,M,N,K,num_tokens,hidden_size,eps,dtype,source,device_time_mean_ms,device_time_median_ms,device_time_min_ms,device_time_max_ms,device_time_p99_ms,device_time_std_ms,wall_time_mean_ms,accuracy_passed,error
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:30:41,add_rmsnorm_bias,deepseek_v3_add_rmsnorm_prefill_s1024,prefill,1024,,,,7168,1e-06,bf16,"DeepSeek-V3, Add+RMSNorm, prefill, seq=1024",0.0637,0.0636,0.0628,0.0651,0.0651,0.0005,2.4192,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:30:41,add_rmsnorm_bias,deepseek_v3_add_rmsnorm_prefill_s2048,prefill,2048,,,,7168,1e-06,bf16,"DeepSeek-V3, Add+RMSNorm, prefill, seq=2048",0.1236,0.1236,0.122,0.1261,0.1261,0.0007,2.4847,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:30:41,add_rmsnorm_bias,deepseek_v3_add_rmsnorm_prefill_s4096,prefill,4096,,,,7168,1e-06,bf16,"DeepSeek-V3, Add+RMSNorm, prefill, seq=4096",0.2403,0.2403,0.2385,0.2421,0.2421,0.0008,2.6151,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:30:41,add_rmsnorm_bias,deepseek_v3_add_rmsnorm_prefill_s8192,prefill,8192,,,,7168,1e-06,bf16,"DeepSeek-V3, Add+RMSNorm, prefill, seq=8192",0.4536,0.4536,0.4512,0.457,0.457,0.001,2.8124,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:35:58,bmm,llama31_8b_attn_qk_decode,decode,1,1024,128,,,,,"Llama-3.1-8B attention Q@K^T decode (seq=1, kv_len=1024)",0.0113,0.0113,0.0112,0.0116,0.0116,0.0001,2.3533,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:35:58,bmm,llama31_8b_attn_qk_prefill_128,prefill,128,128,128,,,,,Llama-3.1-8B attention Q@K^T prefill (seq=128),0.008,0.008,0.008,0.0083,0.0083,0.0,2.3544,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:35:58,bmm,llama31_8b_attn_qk_prefill_512,prefill,512,512,128,,,,,Llama-3.1-8B attention Q@K^T prefill (seq=512),0.0265,0.0265,0.0263,0.0267,0.0267,0.0001,2.4187,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:35:58,bmm,llama31_8b_attn_qk_prefill_1024,prefill,1024,1024,128,,,,,Llama-3.1-8B attention Q@K^T prefill (seq=1024),0.0813,0.0811,0.0805,0.0825,0.0825,0.0005,2.4848,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:35:58,bmm,llama31_8b_attn_av_decode,decode,1,128,1024,,,,,"Llama-3.1-8B attention Attn@V decode (seq=1, kv_len=1024)",0.008,0.0081,0.0078,0.0082,0.0082,0.0001,2.3537,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:35:58,bmm,llama31_8b_attn_av_prefill_512,prefill,512,128,512,,,,,Llama-3.1-8B attention Attn@V prefill (seq=512),0.0278,0.0277,0.0276,0.028,0.028,0.0001,2.4191,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:35:58,bmm,deepseek_v3_attn_qk_decode,decode,1,1024,128,,,,,"DeepSeek-V3 attention Q@K^T decode (128 heads, seq=1, kv_len=1024)",0.0227,0.0225,0.0222,0.0238,0.0238,0.0005,2.4192,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:35:58,bmm,deepseek_v3_attn_qk_prefill_512,prefill,512,512,128,,,,,"DeepSeek-V3 attention Q@K^T prefill (128 heads, seq=512)",0.0816,0.0815,0.0806,0.0828,0.0828,0.0005,2.4847,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:35:58,bmm,deepseek_v3_attn_qk_prefill_2048,prefill,2048,2048,128,,,,,"DeepSeek-V3 attention Q@K^T prefill (128 heads, seq=2048)",,,,,,,,,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 95.07 GiB of which 1.84 GiB is free. Including non-PyTorch memory, this process has 2.59 GiB memory in use. Of the allocated memory 2.16 GiB is allocated by PyTorch, and 0 bytes is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:35:58,bmm,deepseek_v3_attn_av_decode,decode,1,128,1024,,,,,"DeepSeek-V3 attention Attn@V decode (128 heads, seq=1, kv_len=1024)",0.0116,0.0116,0.0114,0.0122,0.0122,0.0001,2.3544,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:35:58,bmm,deepseek_v3_attn_av_prefill_2048,prefill,2048,128,2048,,,,,"DeepSeek-V3 attention Attn@V prefill (128 heads, seq=2048)",1.1324,1.1323,1.1309,1.1345,1.1345,0.0008,3.5334,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:36:05,causal_conv1d_decode,mamba_2.8b_decode_single,,,,,,2560,,bf16,,0.0097,0.0097,0.0094,0.0101,0.0101,0.0001,2.3541,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:36:05,causal_conv1d_decode,mamba_2.8b_decode_batch8,,,,,,2560,,bf16,,0.0099,0.0099,0.0099,0.0101,0.0101,0.0,2.3541,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:36:05,causal_conv1d_decode,mamba_2.8b_decode_batch32,,,,,,2560,,bf16,,0.0127,0.0127,0.0125,0.0129,0.0129,0.0001,2.3766,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:36:05,causal_conv1d_decode,mamba_decode_kernel8,,,,,,2560,,bf16,,0.0105,0.0105,0.0103,0.0108,0.0108,0.0001,2.3542,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:36:15,causal_conv1d_prefill,mamba_conv1d_prefill_b1_s64,prefill,,,,,2560,,bf16,"Mamba-2.8B conv1d, prefill, batch=1, seq=64",0.0149,0.0149,0.0146,0.0152,0.0152,0.0002,2.4218,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:36:15,causal_conv1d_prefill,mamba_conv1d_prefill_b1_s128,prefill,,,,,2560,,bf16,"Mamba-2.8B conv1d, prefill, batch=1, seq=128",0.018,0.018,0.0177,0.0182,0.0182,0.0001,2.4192,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:36:15,causal_conv1d_prefill,mamba_conv1d_prefill_b1_s256,prefill,,,,,2560,,bf16,"Mamba-2.8B conv1d, prefill, batch=1, seq=256",0.0249,0.0249,0.0247,0.0252,0.0252,0.0001,2.4189,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:36:15,causal_conv1d_prefill,mamba_conv1d_prefill_b4_s512,prefill,,,,,2560,,bf16,"Mamba-2.8B conv1d, prefill, batch=4, seq=512",0.1214,0.1214,0.121,0.122,0.122,0.0002,2.4847,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:36:15,causal_conv1d_prefill,mamba_conv1d_prefill_b4_s1024,prefill,,,,,2560,,bf16,"Mamba-2.8B conv1d, prefill, batch=4, seq=1024",0.2441,0.2441,0.2431,0.2455,0.2455,0.0007,2.6157,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:36:15,causal_conv1d_prefill,mamba_conv1d_prefill_b1_s2048,prefill,,,,,2560,,bf16,"Mamba-2.8B conv1d, prefill, batch=1, seq=2048",0.1213,0.1212,0.1205,0.1231,0.1231,0.0005,2.4846,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:36:15,causal_conv1d_prefill,mamba_conv1d_prefill_b1_s4096,prefill,,,,,2560,,bf16,"Mamba-2.8B conv1d, prefill, batch=1, seq=4096",0.2438,0.2438,0.2427,0.2454,0.2454,0.0006,2.6154,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:36:15,causal_conv1d_prefill,mamba_conv1d_prefill_b8_s512,prefill,,,,,2560,,bf16,"Mamba-2.8B conv1d, prefill, batch=8, seq=512",0.2447,0.2448,0.2436,0.246,0.246,0.0006,2.6148,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:36:15,causal_conv1d_prefill,mamba_conv1d_prefill_b8_s1024,prefill,,,,,2560,,bf16,"Mamba-2.8B conv1d, prefill, batch=8, seq=1024",0.4863,0.4863,0.4851,0.4877,0.4877,0.0006,2.8776,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:32:42,flash_linear_attention,gla_decode_b1,decode,,,,,,,bf16,"GLA model decode, single token, fused_recurrent kernel",0.0085,0.0085,0.0084,0.0088,0.0088,0.0001,2.3526,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:32:42,flash_linear_attention,gla_decode_b4,decode,,,,,,,bf16,"GLA model decode, batch=4, fused_recurrent kernel",0.0088,0.0088,0.0086,0.0091,0.0091,0.0001,2.3529,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:32:42,flash_linear_attention,gla_decode_b8,decode,,,,,,,bf16,"GLA model decode, batch=8, fused_recurrent kernel",0.009,0.0091,0.0088,0.0094,0.0094,0.0001,2.3542,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:32:42,flash_linear_attention,gla_prefill_s128,prefill,,,,,,,bf16,"GLA model prefill, chunk kernel",0.0421,0.0421,0.0419,0.0426,0.0426,0.0002,2.4174,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:32:42,flash_linear_attention,gla_prefill_s512,prefill,,,,,,,bf16,"GLA model prefill, chunk kernel",0.056,0.056,0.0556,0.0563,0.0563,0.0002,2.4174,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:32:42,flash_linear_attention,gla_prefill_s1024,prefill,,,,,,,bf16,"GLA model prefill, chunk kernel",0.0889,0.0888,0.0885,0.0905,0.0905,0.0003,2.483,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:32:42,flash_linear_attention,gla_prefill_s2048,prefill,,,,,,,bf16,"GLA model prefill, chunk kernel, 2K context",0.1519,0.152,0.1503,0.1534,0.1534,0.0007,2.5485,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:32:42,flash_linear_attention,gla_prefill_s4096,prefill,,,,,,,bf16,"GLA model prefill, chunk kernel, 4K context",0.2706,0.2706,0.2693,0.2727,0.2727,0.0006,2.6703,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:32:42,flash_linear_attention,gla_prefill_s8192,prefill,,,,,,,bf16,"GLA model prefill, chunk kernel, 8K context",0.5177,0.5176,0.5157,0.5199,0.5199,0.0011,2.8761,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:32:30,flash_mla,deepseek_v3_mla_decode_b1_cache1k,decode,,,,,,,bf16,"FlashInfer-Trace, DeepSeek-V3 MLA decode, 1K cache",0.3126,0.3125,0.3115,0.3139,0.3139,0.0005,2.6796,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:32:30,flash_mla,deepseek_v3_mla_decode_b1_cache4k,decode,,,,,,,bf16,"FlashInfer-Trace, DeepSeek-V3 MLA decode, 4K cache",1.1626,1.1624,1.161,1.1643,1.1643,0.0009,3.5325,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:32:30,flash_mla,deepseek_v3_mla_decode_b4_cache1k,decode,,,,,,,bf16,"FlashInfer-Trace, DeepSeek-V3 MLA decode, batch=4",1.0904,1.0904,1.0887,1.0921,1.0921,0.0009,3.4649,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:32:30,flash_mla,deepseek_v3_mla_decode_b16_cache1k,decode,,,,,,,bf16,"FlashInfer-Trace, DeepSeek-V3 MLA decode, batch=16",9.114,9.1135,9.1089,9.1205,9.1205,0.0026,11.4623,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:32:30,flash_mla,deepseek_v3_mla_prefill_s128,prefill,,,,,,,bf16,"FlashInfer-Trace, DeepSeek-V3 MLA prefill short",0.0572,0.0572,0.0569,0.0592,0.0592,0.0003,2.4187,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:32:30,flash_mla,deepseek_v3_mla_prefill_s512,prefill,,,,,,,bf16,"FlashInfer-Trace, DeepSeek-V3 MLA prefill medium",0.2743,0.2741,0.2657,0.2812,0.2812,0.0032,2.6727,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:32:30,flash_mla,deepseek_v3_mla_prefill_s1024,prefill,,,,,,,bf16,"FlashInfer-Trace, DeepSeek-V3 MLA prefill 1K",0.7329,0.7318,0.714,0.7481,0.7481,0.008,3.12,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:32:30,flash_mla,deepseek_v3_mla_prefill_s2048,prefill,,,,,,,bf16,"FlashInfer-Trace, DeepSeek-V3 MLA prefill 2K",4.7408,4.7412,4.706,4.7763,4.7763,0.0146,7.1139,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:32:30,flash_mla,deepseek_v3_mla_prefill_s4096,prefill,,,,,,,bf16,"FlashInfer-Trace, DeepSeek-V3 MLA prefill 4K",15.2459,15.2418,15.1923,15.2991,15.2991,0.0254,17.6231,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:32:02,flashattention,qwen3_30b_gqa_decode_b1,decode,,,,,,,bf16,"Qwen3-30B-A3B, GQA decode, batch=1, cache=1K",0.0121,0.0121,0.0119,0.0123,0.0123,0.0001,2.3545,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:32:02,flashattention,qwen3_30b_gqa_decode_b4,decode,,,,,,,bf16,"Qwen3-30B-A3B, GQA decode, batch=4, cache=1K",0.0161,0.0161,0.0158,0.0172,0.0172,0.0002,2.4174,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:32:02,flashattention,qwen3_30b_gqa_decode_b8,decode,,,,,,,bf16,"Qwen3-30B-A3B, GQA decode, batch=8, cache=1K",0.0251,0.0251,0.0248,0.0253,0.0253,0.0001,2.4189,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:32:02,flashattention,qwen3_30b_gqa_decode_b16,decode,,,,,,,bf16,"Qwen3-30B-A3B, GQA decode, batch=16, cache=1K",0.0391,0.0391,0.0389,0.0394,0.0394,0.0001,2.4189,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:32:02,flashattention,qwen3_30b_gqa_prefill_s128,prefill,,,,,,,bf16,"Qwen3-30B-A3B, GQA prefill, seq=128",0.0182,0.0182,0.018,0.0186,0.0186,0.0001,2.4164,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:32:02,flashattention,qwen3_30b_gqa_prefill_s256,prefill,,,,,,,bf16,"Qwen3-30B-A3B, GQA prefill, seq=256",0.0268,0.0268,0.0267,0.027,0.027,0.0001,2.4191,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:32:02,flashattention,qwen3_30b_gqa_prefill_s512,prefill,,,,,,,bf16,"Qwen3-30B-A3B, GQA prefill, seq=512",0.0749,0.0749,0.0745,0.0754,0.0754,0.0002,2.4192,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:32:02,flashattention,qwen3_30b_gqa_prefill_s1024,prefill,,,,,,,bf16,"Qwen3-30B-A3B, GQA prefill, seq=1024",0.1954,0.1934,0.183,0.2094,0.2094,0.0075,2.5488,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:32:02,flashattention,qwen3_30b_gqa_prefill_s2048,prefill,,,,,,,bf16,"Qwen3-30B-A3B, GQA prefill, seq=2048",0.5873,0.587,0.5586,0.6232,0.6232,0.0147,2.9494,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:32:02,flashattention,qwen3_30b_gqa_prefill_s4096,prefill,,,,,,,bf16,"Qwen3-30B-A3B, GQA prefill, seq=4096",1.9912,1.9899,1.9527,2.0569,2.0569,0.0253,4.3611,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:32:02,flashattention,qwen3_30b_gqa_prefill_s8192,prefill,,,,,,,bf16,"Qwen3-30B-A3B, GQA prefill, seq=8192",14.7323,14.7319,14.5948,14.8508,14.8508,0.0638,17.1164,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:36:27,fp8_einsum,deepseek_v3_einsum_decode_b1,decode,1,1024,128,,,,bf16,"DeepSeek-V3 attention einsum, decode, batch=1",0.0226,0.0226,0.0223,0.0232,0.0232,0.0001,2.4219,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:36:27,fp8_einsum,deepseek_v3_einsum_decode_b4,decode,4,1024,128,,,,bf16,"DeepSeek-V3 attention einsum, decode, batch=4",0.0226,0.0226,0.0225,0.0229,0.0229,0.0001,2.4192,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:36:27,fp8_einsum,deepseek_v3_einsum_decode_b8,decode,8,1024,128,,,,bf16,"DeepSeek-V3 attention einsum, decode, batch=8",0.0138,0.0138,0.0135,0.0141,0.0141,0.0001,2.4074,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:36:27,fp8_einsum,deepseek_v3_einsum_prefill_s64,prefill,64,64,128,,,,bf16,"DeepSeek-V3 attention einsum, prefill, seq=64",0.0079,0.0079,0.0076,0.008,0.008,0.0001,2.3537,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:36:27,fp8_einsum,deepseek_v3_einsum_prefill_s128,prefill,128,128,128,,,,bf16,"DeepSeek-V3 attention einsum, prefill, seq=128",0.013,0.013,0.0124,0.0135,0.0135,0.0002,2.3544,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:36:27,fp8_einsum,deepseek_v3_einsum_prefill_s256,prefill,256,256,128,,,,bf16,"DeepSeek-V3 attention einsum, prefill, seq=256",0.0266,0.0266,0.0264,0.0268,0.0268,0.0001,2.4191,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:36:27,fp8_einsum,deepseek_v3_einsum_prefill_s512,prefill,512,512,128,,,,bf16,"DeepSeek-V3 attention einsum, prefill, seq=512",0.0469,0.0468,0.0463,0.0479,0.0479,0.0004,2.4187,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:36:27,fp8_einsum,deepseek_v3_einsum_prefill_s1024,prefill,1024,1024,128,,,,bf16,"DeepSeek-V3 attention einsum, prefill, seq=1024",0.0813,0.0812,0.0807,0.0833,0.0833,0.0005,2.4847,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:36:27,fp8_einsum,deepseek_v3_einsum_prefill_s2048,prefill,2048,2048,128,,,,bf16,"DeepSeek-V3 attention einsum, prefill, seq=2048",0.2772,0.2772,0.2762,0.2788,0.2788,0.0006,2.6813,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:38:29,fused_inv_rope_fp8_quant,deepseek_v3_inv_rope_decode_b1,decode,,,,1,,,bf16,"DeepSeek-V3 inverse RoPE + FP8, decode, batch=1",0.0385,0.0386,0.0379,0.0392,0.0392,0.0003,2.4171,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:38:29,fused_inv_rope_fp8_quant,deepseek_v3_inv_rope_decode_b4,decode,,,,4,,,bf16,"DeepSeek-V3 inverse RoPE + FP8, decode, batch=4",0.0406,0.0406,0.0401,0.0413,0.0413,0.0002,2.4188,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:38:29,fused_inv_rope_fp8_quant,llama31_8b_inv_rope_decode_b8,decode,,,,8,,,bf16,"Llama-3.1-8B inverse RoPE + FP8, decode, batch=8",0.0388,0.0387,0.0383,0.0396,0.0396,0.0003,2.4184,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:38:29,fused_inv_rope_fp8_quant,deepseek_v3_inv_rope_prefill_s64,prefill,,,,64,,,bf16,"DeepSeek-V3 inverse RoPE + FP8, prefill, seq=64",0.0671,0.0671,0.0666,0.0681,0.0681,0.0003,2.4187,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:38:29,fused_inv_rope_fp8_quant,deepseek_v3_inv_rope_prefill_s128,prefill,,,,128,,,bf16,"DeepSeek-V3 inverse RoPE + FP8, prefill, seq=128",0.1004,0.1004,0.0999,0.1012,0.1012,0.0003,2.4838,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:38:29,fused_inv_rope_fp8_quant,deepseek_v3_inv_rope_prefill_s256,prefill,,,,256,,,bf16,"DeepSeek-V3 inverse RoPE + FP8, prefill, seq=256",0.1699,0.1699,0.1682,0.1714,0.1714,0.0007,2.5496,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:38:29,fused_inv_rope_fp8_quant,llama31_8b_inv_rope_prefill_s512,prefill,,,,512,,,bf16,"Llama-3.1-8B inverse RoPE + FP8, prefill, seq=512",0.0508,0.0508,0.0501,0.0512,0.0512,0.0002,2.4187,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:38:29,fused_inv_rope_fp8_quant,deepseek_v3_inv_rope_prefill_s1024,prefill,,,,1024,,,bf16,"DeepSeek-V3 inverse RoPE + FP8, prefill, seq=1024",0.6374,0.6375,0.6348,0.6393,0.6393,0.001,3.0076,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:38:29,fused_inv_rope_fp8_quant,deepseek_v3_inv_rope_prefill_s2048,prefill,,,,2048,,,bf16,"DeepSeek-V3 inverse RoPE + FP8, prefill, seq=2048",1.2327,1.2328,1.2299,1.2348,1.2348,0.0011,3.5977,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:40:16,fused_marlin_moe,deepseek_v3_marlin_moe_decode_b1,decode,,,,1,2048,,bf16,"DeepSeek-V3 Marlin MoE, decode, batch=1",33.4368,33.4368,33.4353,33.4373,33.4373,0.0003,35.8405,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:40:16,fused_marlin_moe,deepseek_v3_marlin_moe_decode_b4,decode,,,,4,2048,,bf16,"DeepSeek-V3 Marlin MoE, decode, batch=4",62.5354,62.5354,62.5344,62.5358,62.5358,0.0002,64.9362,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:40:16,fused_marlin_moe,deepseek_v3_marlin_moe_decode_b8,decode,,,,8,2048,,bf16,"DeepSeek-V3 Marlin MoE, decode, batch=8",69.8671,69.8671,69.8663,69.8675,69.8675,0.0002,72.2131,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:40:16,fused_marlin_moe,deepseek_v3_marlin_moe_decode_b16,decode,,,,16,2048,,bf16,"DeepSeek-V3 Marlin MoE, decode, batch=16",77.0849,77.085,77.0842,77.0854,77.0854,0.0002,79.4866,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:40:16,fused_marlin_moe,deepseek_v3_marlin_moe_decode_b32,decode,,,,32,2048,,bf16,"DeepSeek-V3 Marlin MoE, decode, batch=32",77.0843,77.0842,77.083,77.0851,77.0851,0.0003,79.4869,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:40:16,fused_marlin_moe,deepseek_v3_marlin_moe_prefill_s64,prefill,,,,64,2048,,bf16,"DeepSeek-V3 Marlin MoE, prefill, seq=64",77.0847,77.0848,77.0842,77.085,77.085,0.0002,79.4875,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:40:16,fused_marlin_moe,deepseek_v3_marlin_moe_prefill_s128,prefill,,,,128,2048,,bf16,"DeepSeek-V3 Marlin MoE, prefill, seq=128",77.0851,77.0852,77.0843,77.0854,77.0854,0.0002,79.4874,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:40:16,fused_marlin_moe,deepseek_v3_marlin_moe_prefill_s256,prefill,,,,256,2048,,bf16,"DeepSeek-V3 Marlin MoE, prefill, seq=256",77.0854,77.0854,77.0847,77.0858,77.0858,0.0002,79.4875,True,
NVIDIA NVIDIA H20,nvidia,2026-08-11T12:40:16,fused_marlin_moe,deepseek_v3_marlin_moe_prefill_s512,prefill,,,,512,2048,,bf16,"DeepSeek-V3 Marlin MoE, prefill, seq=512",77.086,77.086,77.0857,77.0863,77.0863,0.0002,79.4874,True,
