算子名,框架,厂商软硬件信息,测试用例来源
fused_q_kv_rmsnorm (Q/KV RMSNorm),PyTorch (custom),"NVIDIA NVIDIA H20 (95.1 GB, Driver 610.43.02); PyTorch 2.11.0+cu130; CUDA 13.0; cuDNN 91900",DeepSeek-V3 (14 workloads)
gelu (Gelu),torch,"NVIDIA NVIDIA H20 (95.1 GB, Driver 610.43.02); PyTorch 2.11.0+cu130; CUDA 13.0; cuDNN 91900",(5 workloads)
gemm_w8a8 (W8A8 GEMM),torch.mm,"NVIDIA NVIDIA H20 (95.1 GB, Driver 610.43.02); PyTorch 2.11.0+cu130; CUDA 13.0; cuDNN 91900",Llama-3.1-8B (9 workloads)
gemma_rms_norm (Gemma RMSNorm),F.rms_norm,"NVIDIA NVIDIA H20 (95.1 GB, Driver 610.43.02); PyTorch 2.11.0+cu130; CUDA 13.0; cuDNN 91900",Gemma-2-9B (14 workloads)
grouped_matmul (Grouped GEMM (GQA)),torch.bmm,"NVIDIA NVIDIA H20 (95.1 GB, Driver 610.43.02); PyTorch 2.11.0+cu130; CUDA 13.0; cuDNN 91900",Qwen3-30B-A3B (11 workloads)
kv_rms_norm_rope_cache (KV cache RMSNorm + RoPE),vllm_ops,"NVIDIA NVIDIA H20 (95.1 GB, Driver 610.43.02); PyTorch 2.11.0+cu130; CUDA 13.0; cuDNN 91900","Llama-3.1-8B, DeepSeek-V3 (9 workloads)"
layernorm (Layer normalization),F.layer_norm,"NVIDIA NVIDIA H20 (95.1 GB, Driver 610.43.02); PyTorch 2.11.0+cu130; CUDA 13.0; cuDNN 91900",(6 workloads)
mm (GEMM NT/NN),torch.mm,"NVIDIA NVIDIA H20 (95.1 GB, Driver 610.43.02); PyTorch 2.11.0+cu130; CUDA 13.0; cuDNN 91900","Qwen3-30B-A3B, Llama-3.1-8B, DeepSeek-V3 (13 workloads)"
moe_align_block_size (MoE token alignment),vllm_ops,"NVIDIA NVIDIA H20 (95.1 GB, Driver 610.43.02); PyTorch 2.11.0+cu130; CUDA 13.0; cuDNN 91900","Mixtral, DeepSeek-V3 (9 workloads)"
moe_sum (MoE sum),PyTorch (custom),"NVIDIA NVIDIA H20 (95.1 GB, Driver 610.43.02); PyTorch 2.11.0+cu130; CUDA 13.0; cuDNN 91900",DeepSeek-V3 (9 workloads)
per_token_group_fp8_quant (Per-token group FP8 quant),vllm_ops,"NVIDIA NVIDIA H20 (95.1 GB, Driver 610.43.02); PyTorch 2.11.0+cu130; CUDA 13.0; cuDNN 91900",(9 workloads)
persistent_topk (Sampling operator),torch.topk,"NVIDIA NVIDIA H20 (95.1 GB, Driver 610.43.02); PyTorch 2.11.0+cu130; CUDA 13.0; cuDNN 91900",Llama-3.1-8B (12 workloads)
rms_norm (Standard normalization),F.rms_norm,"NVIDIA NVIDIA H20 (95.1 GB, Driver 610.43.02); PyTorch 2.11.0+cu130; CUDA 13.0; cuDNN 91900",Llama-3.1-8B (15 workloads)
rope (Positional encoding),vllm_ops.rotary_embedding,"NVIDIA NVIDIA H20 (95.1 GB, Driver 610.43.02); PyTorch 2.11.0+cu130; CUDA 13.0; cuDNN 91900",(5 workloads)
router_gemm_bf16_fp32 (Router GEMM),torch.mm (bf16→fp32),"NVIDIA NVIDIA H20 (95.1 GB, Driver 610.43.02); PyTorch 2.11.0+cu130; CUDA 13.0; cuDNN 91900",(5 workloads)
silu_and_mul (SiLU + Mul FFN),PyTorch (custom),"NVIDIA NVIDIA H20 (95.1 GB, Driver 610.43.02); PyTorch 2.11.0+cu130; CUDA 13.0; cuDNN 91900",(5 workloads)
silu_and_mul_with_clamp (SiLU + Mul FFN with clamp),PyTorch (custom),"NVIDIA NVIDIA H20 (95.1 GB, Driver 610.43.02); PyTorch 2.11.0+cu130; CUDA 13.0; cuDNN 91900",Gemma-2-9B (9 workloads)
sparse_attention (Block-sparse attention),F.scaled_dot_product_attention,"NVIDIA NVIDIA H20 (95.1 GB, Driver 610.43.02); PyTorch 2.11.0+cu130; CUDA 13.0; cuDNN 91900",(6 workloads)
swiglu (SwiGLU FFN),PyTorch (custom),"NVIDIA NVIDIA H20 (95.1 GB, Driver 610.43.02); PyTorch 2.11.0+cu130; CUDA 13.0; cuDNN 91900",Llama-3.1-8B (10 workloads)
top_k_per_row_decode (Per-row sampling decode),PyTorch (custom),"NVIDIA NVIDIA H20 (95.1 GB, Driver 610.43.02); PyTorch 2.11.0+cu130; CUDA 13.0; cuDNN 91900",Llama-3.1-8B (8 workloads)
top_k_per_row_prefill (Per-row sampling prefill),PyTorch (custom),"NVIDIA NVIDIA H20 (95.1 GB, Driver 610.43.02); PyTorch 2.11.0+cu130; CUDA 13.0; cuDNN 91900",Llama-3.1-8B (14 workloads)
topk_selector (Top-K mask logits),torch.topk + gather,"NVIDIA NVIDIA H20 (95.1 GB, Driver 610.43.02); PyTorch 2.11.0+cu130; CUDA 13.0; cuDNN 91900",Llama-3.1-8B (12 workloads)
topk_softplus_sqrt (Top-P renorm),PyTorch (custom),"NVIDIA NVIDIA H20 (95.1 GB, Driver 610.43.02); PyTorch 2.11.0+cu130; CUDA 13.0; cuDNN 91900",(5 workloads)
